,Note 3,"Segment reporting, cont.",Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,"Acquired loans, 31 Dec  2020",,,,,,,,,,
1,,,,United,,,,,Other,Central,
2,SEK m,,,Kingdom,Italy,Germany,Poland,France,countries,Functions,Group
3,Run-off consumer loan portfolio,,,–,–,6,–,–,–,–,6
4,Acquired loan portfolios,,,"5,061","5,428","2,440","3,366","2,320","2,460",–,"21,075"
5,Shares and participations in joint ventures1),,,–,–,–,–,–,–1,161,160
6,Acquired loans,,,"5,061","5,428","2,446","3,366","2,320","2,459",161,"21,241"
