,Unnamed: 0,31 Dec,31 Dec.1,31 Dec.2,31 Dec.3
0,"Capital ratios and capital buffers, %",2020.0,2019.0,2020.0,2019.0
1,Common Equity Tier 1 capital ratio,10.76,9.94,13.09,10.95
2,Tier 1 capital ratio,14.05,11.76,17.04,13.16
3,Total capital ratio,16.49,14.01,19.97,15.88
4,Institution specific CET1 buffer requirement,7.0,7.34,7.0,7.3
5,"of which, capital conservation buffer requirement",2.5,2.5,2.5,2.5
6,"of which, countercyclical capital buffer requirement",0.0,0.34,0.0,0.3
7,CET1 capital available to meet buffers (as a percentage of risk exposure amount) 1),6.26,5.44,8.59,6.45
