,"Acquired loans, 31 Dec 2019",Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
0,,United,,,,,Other,Central,
1,SEK m,Kingdom,Italy,Germany,Poland,France,countries,Functions,Group
2,Run-off consumer loan portfolio,–,–,10,–,–,–,–,10
3,Acquired loan portfolios,"6,303","6,165","2,172","3,865","2,827","2,971",–,"24,303"
4,Shares and participations in joint ventures1),–,–,–,–,–,–,200,200
5,Acquired loans,"6,303","6,165","2,182","3,865","2,827","2,971",200,"24,513"
